titulo,empresa,descripcion,fecha,tecnologias,link
Analista Programador JAVA/J2EE,The Adecco Group,"¿Te apasiona el mundo de la informática? ¿Buscas una oportunidad estable? ¿Tienes experiencia en desarrollos en Java/J2EE, Swing, Java FX e Hibernate? ¿Tienes la titulaci...JavaJ2EESwing",,"Java, J2EE, Swing",https://www.tecnoempleo.com/analista-programador-java-j2ee-salamanca/java-j2ee-swing-java-fx-hibernate/rf-47d3k002eqad779ef438
Service Desk Analyst (FRANCES),Adecco Outsourcing,"Desde MODIS IT consultora GLOBAL especializada en IT y perteneciente al Grupo Adecco, te estamos buscando a ti!

¡¡!! Si te interesa un proyecto ESTABLE en un ambiente ...Active Directory",,Active Directory,https://www.tecnoempleo.com/service-desk-analyst-frances-madrid/active-directory/rf-2fd94934aka0ak8000r7
Admin de Sistemas Senior con Ingles,Adecco Outsourcing,"Desde MODIS IT consultora GLOBAL especializada en IT, te estamos buscando a ti!



Si te interesa un proyecto ESTABLE en un gran ambiente de trabajo, esta es TU OPORTUNIDAD...powershellsccmMicrosoft Exchange",,"powershell, sccm, Microsoft Exchange",https://www.tecnoempleo.com/admin-de-sistemas-senior-con-ingles-madrid/powershell-sccm-microsoft-excha/rf-416ao0cc3o3bc382f323
DBA Oracle - Inglés Alto,Adecco Outsourcing,"Desde MODIS IT consultora GLOBAL especializada en IT buscamos un/a Administrador/a de Bases de Datos Oracle.

PROYECTO ESTABLE Y DE LARGA DURACIÓN

Buscamos personas con ...oracleRMANRAC",,"oracle, RMAN, RAC",https://www.tecnoempleo.com/dba-oracle-ingles-alto-madrid/oracle-rman-rac-linux/rf-699b14656qd8eoaa56p6
"Técnico/a Sistemas WAS, tomcat + script",Adecco Outsourcing,"Desde MODIS IT consultora GLOBAL especializada en IT, te estamos buscando a ti!

¡Si te interesa un proyecto ESTABLE en un gran ambiente de trabajo, esta es TU OPORTUNIDAD!

...tomcatWAS",,"tomcat, WAS",https://www.tecnoempleo.com/tecnico-a-sistemas-was-tomcat-script-madrid/tomcat-was/rf-41c0ga909n96aid49fm2
DevOps,Adecco Outsourcing,"Desde Modis IT del Grupo ADECCO, buscamos un DevOps para una posición ESTABLE, ubicada en Barcelona.

¿Qué buscamos?

·Desarrollo de pipelines en Jenkins con integraciones...GitLabSonarNexus",,"GitLab, Sonar, Nexus",https://www.tecnoempleo.com/devops-barcelona/gitlab-sonar-nexus-artifactory-saucelabs-appcenter/rf-1e85hd86d88a7macfcw7
Service Desk Analyst,The Adecco Group,"Adecco Granollers precisa incorporar a un Service Desk Analyst para una importante empresa ubicada en Sant Celoni.
La vacante es temporal, para 3 meses de duración, con ...Service Desk",,Service Desk,https://www.tecnoempleo.com/service-desk-analyst-barcelona/service-desk/rf-553ah9339o7c1od13bv3
Técnico de sistemas Exchange,Apolo IT Group,"Empresa dedicada a la prestación de servicios de tecnologías de la información en todas las áreas de IT, y en actual expansión a otros campos de la Ingeniería, ...exchangeoffice 365powershell",,"exchange, office 365, powershell",https://www.tecnoempleo.com/tecnico-de-sistemas-exchange-asturias/exchange-office-365-powershell-activ/rf-e53bz2ebbj7d7j333e0f
Ingeniero/a Informático/a,The Adecco Group,"Si te gustaría trabajar en una empresa en expansión con muy buen clima y beneficios sociales, en una gran planta con un departamento informático especializado en maquinaria...PLC",,PLC,https://www.tecnoempleo.com/ingeniero-a-informatico-a-tarragona/plc/rf-c6e3sf888o76b4780fsa
Arquitecto Java,Indra Sistemas,Como parte esencial de nuestro equipo en nuestras oficinas de Miguel Yuste (Madrid) buscamos incorporar un profesional con experiencia en Arquitectura Java para integrarse en ...java,,java,https://www.tecnoempleo.com/arquitecto-java-madrid/java/rf-6468e7eadpd27n48cb23
SQL Server/Data Analyst and BI Developer,The Adecco Group,"If you have a Bachelor´s degree in Computer Science, Engineering or equivalent and at least 3 years working as administrator of MS SQL Server, we are looking for you!

We are...sqlbiazure",,"sql, bi, azure",https://www.tecnoempleo.com/sql-server-data-analyst-and-bi-developer-sta-cruz-/sql-bi-azure/rf-830ci03411f942248ba9
Senior Full-Stack developer,The Adecco Group,"Do you have at least 4 years of progressive development experience in .NET technologies and a degree in Computer Science, Engineering or equivalent? Look no further...

We are...netc#asp net",,"net, c#, asp net",https://www.tecnoempleo.com/senior-full-stack-developer-sta-cruz-de-tenerife/net-c-asp-net-angular-rea/rf-329fb6305e62378006xc
FP Superior Informática - AI,Indra Sistemas,Se buscan recién graduados en el FP superior de Informática con interés en desarrollarse en el lenguaje python en un proyecto de inteligencia artificial...pythonpowershellautomatismos,,"python, powershell, automatismos",https://www.tecnoempleo.com/fp-superior-informatica-ai-madrid/python-powershell-automatismos/rf-7bfdi0c505023v613f21
Desarrollo de  Software,Indra Sistemas,Buscamos perfiles Junior para el mercado de transportes con interés en desarrollarse en el campo de la programación...JAVAC++HTML,,"JAVA, C++, HTML",https://www.tecnoempleo.com/desarrollo-software-madrid/java-c-html/rf-5e7ab8faf4140wc532re
FP Superior Elecctrónica- JAVA,Indra Sistemas,Buscamos recién graduados en el FP Superior en Electrónica o en el FP Superior de Informática con interés en el campo de la programación...JAVACC++,,"JAVA, C, C++",https://www.tecnoempleo.com/fp-superior-elecctronica-java-madrid/java-c-c/rf-78a86486065a5m9d98x3
FP Automatización y Robótica Industrial,Indra Sistemas,"Buscamos un técnico superior de Automatizacion y Robotica para el área de Transporte y Defensa de la compañía.
Se requiere inglés B1 alto...robótica",,robótica,https://www.tecnoempleo.com/fp-automatizacion-robotica-industrial-madrid/robotica/rf-93e0n9f4221546a464qe
Junior Android,Indra Sistemas,- Buscamos perfiles con experiencia en Android con al menos 6 meses-  1año de experiencia para iniciarse en nuestros proyectos...android,,android,https://www.tecnoempleo.com/junior-android-madrid/android/rf-2184804ecu754e9b94qf
Beca Ingeniería para sistemas radar,Indra Sistemas,"Perfil buscado: Estudiante de ingeniería (industrial, telecomunicaciones, informática, del software, de computadores).

Dentro del sector de tecnología y gestión de ...Cc++",,"C, c++",https://www.tecnoempleo.com/beca-ingenieria-para-sistemas-radar-madrid/c-c/rf-ab9dl93cfgb32ebbdej3
Ingeniero telecomunicaciones/informática,Indra Sistemas,"BUSCAMOS INGENIEROS DE TELECOMUNICACIONES/ INFORMÁTICA/ SOFTWARE/ COMPUTADORES/ INDUSTRIALES PARA NUESTRAS ÁREAS DE TRANSPORTE Y DEFENSA, DONDE SE BUSCAN PERFILES ORIENTADOS...Cc++Java",,"C, c++, Java",https://www.tecnoempleo.com/ingeniero-telecomunicaciones-informatica-madrid/c-c-java/rf-b2a1wec96ga1ed074au4
Ingeniero para SW de guerra electrónica,Indra Sistemas,"Dentro del sector de Defensa de la compañía, buscamos un ingeniero para llevar a cabo el desarrollo software de un sistema de guerra electrónica para aviones de combate.

...CC++ADA",,"C, C++, ADA",https://www.tecnoempleo.com/ingeniero-para-sw-de-guerra-electronica-madrid/c-c-ada/rf-786cwa7c3w6d6k34c2qa
Beca Ingeniería para Defensa y Seguridad,Indra Sistemas,"Buscamos estudiantes del grado o máster de Ingeniería (telecomunicaciones, informática, del software, de computadores/ industrial) para dar soporte transversal a ...Visual BasicAccess",,"Visual Basic, Access",https://www.tecnoempleo.com/beca-ingenieria-para-defensa-seguridad-madrid/visual-basic-access/rf-b4a6h5a7308f3cb531x5
Beca/Prácticas Desarrollo Software,Indra Sistemas,"Hay distintas oportunidades laborales en mercados como tecnología y gestión del producto, programas europeos de tráfico aéreo, defensa, etc...dónde se buscan perfiles ...cc++java",,"c, c++, java",https://www.tecnoempleo.com/beca-practicas-desarrollo-software-madrid/c-c-java/rf-230f4b7efaf365beac86
Consultor técnico IVR/VXML,Indra Sistemas,"Desde la nueva división digital de Indra, MINSAIT, estamos buscando para plantilla un profesional con experiencia mínimo 2 años o más dedicados a realizar proyectos de ...IVRAvayaGenesys",,"IVR, Avaya, Genesys",https://www.tecnoempleo.com/consultor-tecnico-ivr-vxml-madrid/ivr-avaya-genesys-vxml/rf-bf3c0dd9ch833f1f5cz1
Administrador Sistemas Linux,Stratio,"En Stratio buscamos un Administrador de Sistemas Linux, con experiencia en Ansible, Puppet o Chef, contenedores docker y scripting en Python.  
Si eres una persona proactiva...linuxdockeransible",,"linux, docker, ansible",https://www.tecnoempleo.com/administrador-sistemas-linux-madrid/linux-docker-ansible-python/rf-7cf7oaf68796cz4b2as0
Desarrolladores Java,Stratio,"Desde StratioBD estamos seleccionando Desarrolladores Java con experiencia en Spring Boot y Microservicios, para formar parte de proyecto en nuestras oficinas. 

¿Qué ...javaspring bootSpring Cloud",,"java, spring boot, Spring Cloud",https://www.tecnoempleo.com/desarrolladores-java-madrid/java-spring-boot-spring-cloud/rf-b935nda87na80d1a1eh1
Arquitecto Fullstack,Stratio,"Experiencia de al menos 4 años realizando diseño de arquitectura y soluciones fullstack con JEE
Experiencia previa con herramientas Weblogic  y Wclipse
Experiencia con ...jeejavaoracle",,"jee, java, oracle",https://www.tecnoempleo.com/arquitecto-fullstack-madrid/jee-java-oracle-weblogic-eclipse/rf-c5a0n1a8a1be4i0ba92d
Spark Engineer,Stratio,"Más de 3 años de experiencia demostrable en desarrollo de sistemas de backend
• Muy buenos conocimientos de arquitectura y programación (best-practices): unit testing, ...SparkHadoopCassandra",,"Spark, Hadoop, Cassandra",https://www.tecnoempleo.com/spark-engineer-madrid/spark-hadoop-cassandra-mongo-db-hbase/rf-5756uf6581d48v88fbud
Arquitecto Big Data,Stratio,"Arquitectura Big Data y bases de dato NoSQL. Postgre, cassandra, mongo etc... 
Capacidad de crear documentos de arquitectura de sistemas distribuidos. 
Experiencia en grandes ...ScalaSparkHadoop",,"Scala, Spark, Hadoop",https://www.tecnoempleo.com/arquitecto-big-data-madrid/scala-spark-hadoop-mapreduce-nosql-postgresql-c/rf-edfbmbcaec97985a89j1
FP Superior Informática - AI,Indra Sistemas,Se buscan recién graduados en el FP superior de Informática con interés en desarrollarse en el lenguaje python en un proyecto de inteligencia artificial...pythonpowershellautomatismos,,"python, powershell, automatismos",https://www.tecnoempleo.com/fp-superior-informatica-ai-madrid/python-powershell-automatismos/rf-7bfdi0c505023v613f21
Desarrollo de  Software,Indra Sistemas,Buscamos perfiles Junior para el mercado de transportes con interés en desarrollarse en el campo de la programación...JAVAC++HTML,,"JAVA, C++, HTML",https://www.tecnoempleo.com/desarrollo-software-madrid/java-c-html/rf-5e7ab8faf4140wc532re
FP Superior Elecctrónica- JAVA,Indra Sistemas,Buscamos recién graduados en el FP Superior en Electrónica o en el FP Superior de Informática con interés en el campo de la programación...JAVACC++,,"JAVA, C, C++",https://www.tecnoempleo.com/fp-superior-elecctronica-java-madrid/java-c-c/rf-78a86486065a5m9d98x3
FP Automatización y Robótica Industrial,Indra Sistemas,"Buscamos un técnico superior de Automatizacion y Robotica para el área de Transporte y Defensa de la compañía.
Se requiere inglés B1 alto...robótica",,robótica,https://www.tecnoempleo.com/fp-automatizacion-robotica-industrial-madrid/robotica/rf-93e0n9f4221546a464qe
Junior Android,Indra Sistemas,- Buscamos perfiles con experiencia en Android con al menos 6 meses-  1año de experiencia para iniciarse en nuestros proyectos...android,,android,https://www.tecnoempleo.com/junior-android-madrid/android/rf-2184804ecu754e9b94qf
Beca Ingeniería para sistemas radar,Indra Sistemas,"Perfil buscado: Estudiante de ingeniería (industrial, telecomunicaciones, informática, del software, de computadores).

Dentro del sector de tecnología y gestión de ...Cc++",,"C, c++",https://www.tecnoempleo.com/beca-ingenieria-para-sistemas-radar-madrid/c-c/rf-ab9dl93cfgb32ebbdej3
Ingeniero telecomunicaciones/informática,Indra Sistemas,"BUSCAMOS INGENIEROS DE TELECOMUNICACIONES/ INFORMÁTICA/ SOFTWARE/ COMPUTADORES/ INDUSTRIALES PARA NUESTRAS ÁREAS DE TRANSPORTE Y DEFENSA, DONDE SE BUSCAN PERFILES ORIENTADOS...Cc++Java",,"C, c++, Java",https://www.tecnoempleo.com/ingeniero-telecomunicaciones-informatica-madrid/c-c-java/rf-b2a1wec96ga1ed074au4
Ingeniero para SW de guerra electrónica,Indra Sistemas,"Dentro del sector de Defensa de la compañía, buscamos un ingeniero para llevar a cabo el desarrollo software de un sistema de guerra electrónica para aviones de combate.

...CC++ADA",,"C, C++, ADA",https://www.tecnoempleo.com/ingeniero-para-sw-de-guerra-electronica-madrid/c-c-ada/rf-786cwa7c3w6d6k34c2qa
Beca Ingeniería para Defensa y Seguridad,Indra Sistemas,"Buscamos estudiantes del grado o máster de Ingeniería (telecomunicaciones, informática, del software, de computadores/ industrial) para dar soporte transversal a ...Visual BasicAccess",,"Visual Basic, Access",https://www.tecnoempleo.com/beca-ingenieria-para-defensa-seguridad-madrid/visual-basic-access/rf-b4a6h5a7308f3cb531x5
Beca/Prácticas Desarrollo Software,Indra Sistemas,"Hay distintas oportunidades laborales en mercados como tecnología y gestión del producto, programas europeos de tráfico aéreo, defensa, etc...dónde se buscan perfiles ...cc++java",,"c, c++, java",https://www.tecnoempleo.com/beca-practicas-desarrollo-software-madrid/c-c-java/rf-230f4b7efaf365beac86
Consultor técnico IVR/VXML,Indra Sistemas,"Desde la nueva división digital de Indra, MINSAIT, estamos buscando para plantilla un profesional con experiencia mínimo 2 años o más dedicados a realizar proyectos de ...IVRAvayaGenesys",,"IVR, Avaya, Genesys",https://www.tecnoempleo.com/consultor-tecnico-ivr-vxml-madrid/ivr-avaya-genesys-vxml/rf-bf3c0dd9ch833f1f5cz1
Administrador Sistemas Linux,Stratio,"En Stratio buscamos un Administrador de Sistemas Linux, con experiencia en Ansible, Puppet o Chef, contenedores docker y scripting en Python.  
Si eres una persona proactiva...linuxdockeransible",,"linux, docker, ansible",https://www.tecnoempleo.com/administrador-sistemas-linux-madrid/linux-docker-ansible-python/rf-7cf7oaf68796cz4b2as0
Desarrolladores Java,Stratio,"Desde StratioBD estamos seleccionando Desarrolladores Java con experiencia en Spring Boot y Microservicios, para formar parte de proyecto en nuestras oficinas. 

¿Qué ...javaspring bootSpring Cloud",,"java, spring boot, Spring Cloud",https://www.tecnoempleo.com/desarrolladores-java-madrid/java-spring-boot-spring-cloud/rf-b935nda87na80d1a1eh1
Arquitecto Fullstack,Stratio,"Experiencia de al menos 4 años realizando diseño de arquitectura y soluciones fullstack con JEE
Experiencia previa con herramientas Weblogic  y Wclipse
Experiencia con ...jeejavaoracle",,"jee, java, oracle",https://www.tecnoempleo.com/arquitecto-fullstack-madrid/jee-java-oracle-weblogic-eclipse/rf-c5a0n1a8a1be4i0ba92d
Spark Engineer,Stratio,"Más de 3 años de experiencia demostrable en desarrollo de sistemas de backend
• Muy buenos conocimientos de arquitectura y programación (best-practices): unit testing, ...SparkHadoopCassandra",,"Spark, Hadoop, Cassandra",https://www.tecnoempleo.com/spark-engineer-madrid/spark-hadoop-cassandra-mongo-db-hbase/rf-5756uf6581d48v88fbud
Arquitecto Big Data,Stratio,"Arquitectura Big Data y bases de dato NoSQL. Postgre, cassandra, mongo etc... 
Capacidad de crear documentos de arquitectura de sistemas distribuidos. 
Experiencia en grandes ...ScalaSparkHadoop",,"Scala, Spark, Hadoop",https://www.tecnoempleo.com/arquitecto-big-data-madrid/scala-spark-hadoop-mapreduce-nosql-postgresql-c/rf-edfbmbcaec97985a89j1
FP Superior Informática - AI,Indra Sistemas,Se buscan recién graduados en el FP superior de Informática con interés en desarrollarse en el lenguaje python en un proyecto de inteligencia artificial...pythonpowershellautomatismos,,"python, powershell, automatismos",https://www.tecnoempleo.com/fp-superior-informatica-ai-madrid/python-powershell-automatismos/rf-7bfdi0c505023v613f21
Desarrollo de  Software,Indra Sistemas,Buscamos perfiles Junior para el mercado de transportes con interés en desarrollarse en el campo de la programación...JAVAC++HTML,,"JAVA, C++, HTML",https://www.tecnoempleo.com/desarrollo-software-madrid/java-c-html/rf-5e7ab8faf4140wc532re
FP Superior Elecctrónica- JAVA,Indra Sistemas,Buscamos recién graduados en el FP Superior en Electrónica o en el FP Superior de Informática con interés en el campo de la programación...JAVACC++,,"JAVA, C, C++",https://www.tecnoempleo.com/fp-superior-elecctronica-java-madrid/java-c-c/rf-78a86486065a5m9d98x3
FP Automatización y Robótica Industrial,Indra Sistemas,"Buscamos un técnico superior de Automatizacion y Robotica para el área de Transporte y Defensa de la compañía.
Se requiere inglés B1 alto...robótica",,robótica,https://www.tecnoempleo.com/fp-automatizacion-robotica-industrial-madrid/robotica/rf-93e0n9f4221546a464qe
Junior Android,Indra Sistemas,- Buscamos perfiles con experiencia en Android con al menos 6 meses-  1año de experiencia para iniciarse en nuestros proyectos...android,,android,https://www.tecnoempleo.com/junior-android-madrid/android/rf-2184804ecu754e9b94qf
Beca Ingeniería para sistemas radar,Indra Sistemas,"Perfil buscado: Estudiante de ingeniería (industrial, telecomunicaciones, informática, del software, de computadores).

Dentro del sector de tecnología y gestión de ...Cc++",,"C, c++",https://www.tecnoempleo.com/beca-ingenieria-para-sistemas-radar-madrid/c-c/rf-ab9dl93cfgb32ebbdej3
Ingeniero telecomunicaciones/informática,Indra Sistemas,"BUSCAMOS INGENIEROS DE TELECOMUNICACIONES/ INFORMÁTICA/ SOFTWARE/ COMPUTADORES/ INDUSTRIALES PARA NUESTRAS ÁREAS DE TRANSPORTE Y DEFENSA, DONDE SE BUSCAN PERFILES ORIENTADOS...Cc++Java",,"C, c++, Java",https://www.tecnoempleo.com/ingeniero-telecomunicaciones-informatica-madrid/c-c-java/rf-b2a1wec96ga1ed074au4
Ingeniero para SW de guerra electrónica,Indra Sistemas,"Dentro del sector de Defensa de la compañía, buscamos un ingeniero para llevar a cabo el desarrollo software de un sistema de guerra electrónica para aviones de combate.

...CC++ADA",,"C, C++, ADA",https://www.tecnoempleo.com/ingeniero-para-sw-de-guerra-electronica-madrid/c-c-ada/rf-786cwa7c3w6d6k34c2qa
Beca Ingeniería para Defensa y Seguridad,Indra Sistemas,"Buscamos estudiantes del grado o máster de Ingeniería (telecomunicaciones, informática, del software, de computadores/ industrial) para dar soporte transversal a ...Visual BasicAccess",,"Visual Basic, Access",https://www.tecnoempleo.com/beca-ingenieria-para-defensa-seguridad-madrid/visual-basic-access/rf-b4a6h5a7308f3cb531x5
Beca/Prácticas Desarrollo Software,Indra Sistemas,"Hay distintas oportunidades laborales en mercados como tecnología y gestión del producto, programas europeos de tráfico aéreo, defensa, etc...dónde se buscan perfiles ...cc++java",,"c, c++, java",https://www.tecnoempleo.com/beca-practicas-desarrollo-software-madrid/c-c-java/rf-230f4b7efaf365beac86
Consultor técnico IVR/VXML,Indra Sistemas,"Desde la nueva división digital de Indra, MINSAIT, estamos buscando para plantilla un profesional con experiencia mínimo 2 años o más dedicados a realizar proyectos de ...IVRAvayaGenesys",,"IVR, Avaya, Genesys",https://www.tecnoempleo.com/consultor-tecnico-ivr-vxml-madrid/ivr-avaya-genesys-vxml/rf-bf3c0dd9ch833f1f5cz1
Administrador Sistemas Linux,Stratio,"En Stratio buscamos un Administrador de Sistemas Linux, con experiencia en Ansible, Puppet o Chef, contenedores docker y scripting en Python.  
Si eres una persona proactiva...linuxdockeransible",,"linux, docker, ansible",https://www.tecnoempleo.com/administrador-sistemas-linux-madrid/linux-docker-ansible-python/rf-7cf7oaf68796cz4b2as0
Desarrolladores Java,Stratio,"Desde StratioBD estamos seleccionando Desarrolladores Java con experiencia en Spring Boot y Microservicios, para formar parte de proyecto en nuestras oficinas. 

¿Qué ...javaspring bootSpring Cloud",,"java, spring boot, Spring Cloud",https://www.tecnoempleo.com/desarrolladores-java-madrid/java-spring-boot-spring-cloud/rf-b935nda87na80d1a1eh1
Arquitecto Fullstack,Stratio,"Experiencia de al menos 4 años realizando diseño de arquitectura y soluciones fullstack con JEE
Experiencia previa con herramientas Weblogic  y Wclipse
Experiencia con ...jeejavaoracle",,"jee, java, oracle",https://www.tecnoempleo.com/arquitecto-fullstack-madrid/jee-java-oracle-weblogic-eclipse/rf-c5a0n1a8a1be4i0ba92d
Spark Engineer,Stratio,"Más de 3 años de experiencia demostrable en desarrollo de sistemas de backend
• Muy buenos conocimientos de arquitectura y programación (best-practices): unit testing, ...SparkHadoopCassandra",,"Spark, Hadoop, Cassandra",https://www.tecnoempleo.com/spark-engineer-madrid/spark-hadoop-cassandra-mongo-db-hbase/rf-5756uf6581d48v88fbud
Arquitecto Big Data,Stratio,"Arquitectura Big Data y bases de dato NoSQL. Postgre, cassandra, mongo etc... 
Capacidad de crear documentos de arquitectura de sistemas distribuidos. 
Experiencia en grandes ...ScalaSparkHadoop",,"Scala, Spark, Hadoop",https://www.tecnoempleo.com/arquitecto-big-data-madrid/scala-spark-hadoop-mapreduce-nosql-postgresql-c/rf-edfbmbcaec97985a89j1
FP Superior Informática - AI,Indra Sistemas,Se buscan recién graduados en el FP superior de Informática con interés en desarrollarse en el lenguaje python en un proyecto de inteligencia artificial...pythonpowershellautomatismos,,"python, powershell, automatismos",https://www.tecnoempleo.com/fp-superior-informatica-ai-madrid/python-powershell-automatismos/rf-7bfdi0c505023v613f21
Desarrollo de  Software,Indra Sistemas,Buscamos perfiles Junior para el mercado de transportes con interés en desarrollarse en el campo de la programación...JAVAC++HTML,,"JAVA, C++, HTML",https://www.tecnoempleo.com/desarrollo-software-madrid/java-c-html/rf-5e7ab8faf4140wc532re
FP Superior Elecctrónica- JAVA,Indra Sistemas,Buscamos recién graduados en el FP Superior en Electrónica o en el FP Superior de Informática con interés en el campo de la programación...JAVACC++,,"JAVA, C, C++",https://www.tecnoempleo.com/fp-superior-elecctronica-java-madrid/java-c-c/rf-78a86486065a5m9d98x3
FP Automatización y Robótica Industrial,Indra Sistemas,"Buscamos un técnico superior de Automatizacion y Robotica para el área de Transporte y Defensa de la compañía.
Se requiere inglés B1 alto...robótica",,robótica,https://www.tecnoempleo.com/fp-automatizacion-robotica-industrial-madrid/robotica/rf-93e0n9f4221546a464qe
Junior Android,Indra Sistemas,- Buscamos perfiles con experiencia en Android con al menos 6 meses-  1año de experiencia para iniciarse en nuestros proyectos...android,,android,https://www.tecnoempleo.com/junior-android-madrid/android/rf-2184804ecu754e9b94qf
Beca Ingeniería para sistemas radar,Indra Sistemas,"Perfil buscado: Estudiante de ingeniería (industrial, telecomunicaciones, informática, del software, de computadores).

Dentro del sector de tecnología y gestión de ...Cc++",,"C, c++",https://www.tecnoempleo.com/beca-ingenieria-para-sistemas-radar-madrid/c-c/rf-ab9dl93cfgb32ebbdej3
Ingeniero telecomunicaciones/informática,Indra Sistemas,"BUSCAMOS INGENIEROS DE TELECOMUNICACIONES/ INFORMÁTICA/ SOFTWARE/ COMPUTADORES/ INDUSTRIALES PARA NUESTRAS ÁREAS DE TRANSPORTE Y DEFENSA, DONDE SE BUSCAN PERFILES ORIENTADOS...Cc++Java",,"C, c++, Java",https://www.tecnoempleo.com/ingeniero-telecomunicaciones-informatica-madrid/c-c-java/rf-b2a1wec96ga1ed074au4
Ingeniero para SW de guerra electrónica,Indra Sistemas,"Dentro del sector de Defensa de la compañía, buscamos un ingeniero para llevar a cabo el desarrollo software de un sistema de guerra electrónica para aviones de combate.

...CC++ADA",,"C, C++, ADA",https://www.tecnoempleo.com/ingeniero-para-sw-de-guerra-electronica-madrid/c-c-ada/rf-786cwa7c3w6d6k34c2qa
Beca Ingeniería para Defensa y Seguridad,Indra Sistemas,"Buscamos estudiantes del grado o máster de Ingeniería (telecomunicaciones, informática, del software, de computadores/ industrial) para dar soporte transversal a ...Visual BasicAccess",,"Visual Basic, Access",https://www.tecnoempleo.com/beca-ingenieria-para-defensa-seguridad-madrid/visual-basic-access/rf-b4a6h5a7308f3cb531x5
Beca/Prácticas Desarrollo Software,Indra Sistemas,"Hay distintas oportunidades laborales en mercados como tecnología y gestión del producto, programas europeos de tráfico aéreo, defensa, etc...dónde se buscan perfiles ...cc++java",,"c, c++, java",https://www.tecnoempleo.com/beca-practicas-desarrollo-software-madrid/c-c-java/rf-230f4b7efaf365beac86
Consultor técnico IVR/VXML,Indra Sistemas,"Desde la nueva división digital de Indra, MINSAIT, estamos buscando para plantilla un profesional con experiencia mínimo 2 años o más dedicados a realizar proyectos de ...IVRAvayaGenesys",,"IVR, Avaya, Genesys",https://www.tecnoempleo.com/consultor-tecnico-ivr-vxml-madrid/ivr-avaya-genesys-vxml/rf-bf3c0dd9ch833f1f5cz1
Administrador Sistemas Linux,Stratio,"En Stratio buscamos un Administrador de Sistemas Linux, con experiencia en Ansible, Puppet o Chef, contenedores docker y scripting en Python.  
Si eres una persona proactiva...linuxdockeransible",,"linux, docker, ansible",https://www.tecnoempleo.com/administrador-sistemas-linux-madrid/linux-docker-ansible-python/rf-7cf7oaf68796cz4b2as0
Desarrolladores Java,Stratio,"Desde StratioBD estamos seleccionando Desarrolladores Java con experiencia en Spring Boot y Microservicios, para formar parte de proyecto en nuestras oficinas. 

¿Qué ...javaspring bootSpring Cloud",,"java, spring boot, Spring Cloud",https://www.tecnoempleo.com/desarrolladores-java-madrid/java-spring-boot-spring-cloud/rf-b935nda87na80d1a1eh1
Arquitecto Fullstack,Stratio,"Experiencia de al menos 4 años realizando diseño de arquitectura y soluciones fullstack con JEE
Experiencia previa con herramientas Weblogic  y Wclipse
Experiencia con ...jeejavaoracle",,"jee, java, oracle",https://www.tecnoempleo.com/arquitecto-fullstack-madrid/jee-java-oracle-weblogic-eclipse/rf-c5a0n1a8a1be4i0ba92d
Spark Engineer,Stratio,"Más de 3 años de experiencia demostrable en desarrollo de sistemas de backend
• Muy buenos conocimientos de arquitectura y programación (best-practices): unit testing, ...SparkHadoopCassandra",,"Spark, Hadoop, Cassandra",https://www.tecnoempleo.com/spark-engineer-madrid/spark-hadoop-cassandra-mongo-db-hbase/rf-5756uf6581d48v88fbud
Arquitecto Big Data,Stratio,"Arquitectura Big Data y bases de dato NoSQL. Postgre, cassandra, mongo etc... 
Capacidad de crear documentos de arquitectura de sistemas distribuidos. 
Experiencia en grandes ...ScalaSparkHadoop",,"Scala, Spark, Hadoop",https://www.tecnoempleo.com/arquitecto-big-data-madrid/scala-spark-hadoop-mapreduce-nosql-postgresql-c/rf-edfbmbcaec97985a89j1
FP Superior Informática - AI,Indra Sistemas,Se buscan recién graduados en el FP superior de Informática con interés en desarrollarse en el lenguaje python en un proyecto de inteligencia artificial...pythonpowershellautomatismos,,"python, powershell, automatismos",https://www.tecnoempleo.com/fp-superior-informatica-ai-madrid/python-powershell-automatismos/rf-7bfdi0c505023v613f21
Desarrollo de  Software,Indra Sistemas,Buscamos perfiles Junior para el mercado de transportes con interés en desarrollarse en el campo de la programación...JAVAC++HTML,,"JAVA, C++, HTML",https://www.tecnoempleo.com/desarrollo-software-madrid/java-c-html/rf-5e7ab8faf4140wc532re
FP Superior Elecctrónica- JAVA,Indra Sistemas,Buscamos recién graduados en el FP Superior en Electrónica o en el FP Superior de Informática con interés en el campo de la programación...JAVACC++,,"JAVA, C, C++",https://www.tecnoempleo.com/fp-superior-elecctronica-java-madrid/java-c-c/rf-78a86486065a5m9d98x3
FP Automatización y Robótica Industrial,Indra Sistemas,"Buscamos un técnico superior de Automatizacion y Robotica para el área de Transporte y Defensa de la compañía.
Se requiere inglés B1 alto...robótica",,robótica,https://www.tecnoempleo.com/fp-automatizacion-robotica-industrial-madrid/robotica/rf-93e0n9f4221546a464qe
Junior Android,Indra Sistemas,- Buscamos perfiles con experiencia en Android con al menos 6 meses-  1año de experiencia para iniciarse en nuestros proyectos...android,,android,https://www.tecnoempleo.com/junior-android-madrid/android/rf-2184804ecu754e9b94qf
Beca Ingeniería para sistemas radar,Indra Sistemas,"Perfil buscado: Estudiante de ingeniería (industrial, telecomunicaciones, informática, del software, de computadores).

Dentro del sector de tecnología y gestión de ...Cc++",,"C, c++",https://www.tecnoempleo.com/beca-ingenieria-para-sistemas-radar-madrid/c-c/rf-ab9dl93cfgb32ebbdej3
